№;Предмет;Позначення;Найменування предмету;Категория;Залишок
1;50100018;87-502807-00;ПОРШЕНЬ 65.5(+0,50) VW 1.4 (AEX) 95-;Поршни;
2;50200042;03.3304-2208.1;ATE Кольцо уплотнительное тормозного цилиндра;Кольца;2
3;50200040;051 129 625B;КОЛЬЦО УПЛОТНИТЕЛЬНОЕ ВПУСКНОГО ВОЗДУХОВОДА;Кольца;1
4;50200036;08-112700-00;V 184  КОЛЬЦА ПОРШНЕВЫЕ 2.0 75-100PS STD 86ММ (2.5X2X3)  GOTZE;Кольца;2
5;50200038;850200000;КОЛЬЦА 81,0 STD 1,75-2-3 VW T4 1,8-2,5 90- A 3,6V8 1 ПОРШ.;Кольца;4
6;50200032;101-950;FISCHER Кольцо уплотнительное выхлопной системы BMW;Кольца;1
7;50200039;443 955 465;Кольцо уплотнительное бачка омывателя AU-VW;Кольца;3
8;50200034;50-306911-50;САЛЬНИК КЛАПАНА;Кольца;9
9;50300067;19015088;Сальник трансмісії ;Вкладыши;1
10;50400613;016 409 399B;САЛЬНИК ЗАДНЕГО ПРИВОДА ПРАВЫЙ 45x60x8;Прокладки и сальники;2
11;50400616;0220-01-0024P;026103383P ПРОКЛАДКА ГОЛ. VW 1,6-1,8 83-;Прокладки и сальники;1
12;50400617;0220-01-0206P;048129717A ПРОКЛАДКА КОЛЛЕКТОРА ВПУСК. VW 1,6-2,0 90-;Прокладки и сальники;2
13;50400619;0220-01-0217P;028129589B ПРОКЛАДКА КОЛЛЕКТОРА ВЫПУСК. VW/AUDI (КАПЛЯ);Прокладки и сальники;7
14;50400618;0220-01-0221P;026129717D ПРОКЛАДКА КОЛЛЕКТОРА ВПУСК. AUDI/VW 1,6-1,8 @;Прокладки и сальники;4
15;50400631;047 103 161A;ПРОКЛАДКА УЩИЛЬНЮВАЧ SEAT / SKODA/ VW;Прокладки и сальники;6
16;50400624;051 103 623;ЩИТОК МАСЛЯНОГО ПОДДОНА VW/SEAT;Прокладки и сальники;1
17;50400557;100 321 0003;01N321370 ПРОКЛАДКА НИЖН. КРЫШКИ КОРОБ. АВТ 4-B  A4,A6 95- , 80,90,PASS@^;Прокладки и сальники;2
18;50400180;110-906;ПРОКЛАДКА ТРУБЫ AUDI,VW DERBY GOLF,POLO;Прокладки и сальники;2
19;50400177;110-916;FISCHER Прокладка, труба вихлопного газу;Прокладки и сальники;2
20;50400621;130 75 60;SCANIA ПРОКЛАДКА ГРУЗОВИК P-, G-, R-, T- серии;Прокладки и сальники;2
21;50400608;1H0 823 499;КЛИПСА ;Прокладки и сальники;2
22;50400612;2020436;РУЧКА РЕГУЛИРОВКИ СИДЕНЬЯ НА ОПЕЛЬ ОМЕГА СД;Прокладки и сальники;1
23;50400623;5002487000;ПРОKЛ. ПЕР. ВОД. KОЛЛЕKТ. ВП. /ГОЛ. VW 1,6 /1,8 035121171C@ABM/PN ЗАМЕНА;Прокладки и сальники;4
24;50400130;5030667050;САЛЬHИK KЛАП. BMW / PSA / VW@ВПУСК./ВЫП.   universal  d8 AVIK;Прокладки и сальники;
25;50400614;61-29300-00;ПРОКЛАДКА ГОЛ. БЛОКА VW T4 1.8/2.0 AAC/PD;Прокладки и сальники;1
26;50400602;70-31943-00;ПРОКЛАДКА ПОДДОНА МАСЛА AUDI/VW 1.9D/TD 1Y/AAZ;Прокладки и сальники;1
27;50400606;701 501 191;Ограничитель хода рычага подвески задний;Прокладки и сальники;4
28;50400609;701 837 061 C;Личинка замка двери;Прокладки и сальники;1
29;50400604;867 857 169 ;Штифт крышки вещевого ящика;Прокладки и сальники;6
30;50400642;96179241;GENERAL MOTORS ПРОКЛАДКА (НИЖН.) КОРОБ. ПЕРЕД. DAEWOO NEXIA, ESPERO 95-;Прокладки и сальники;1
31;50400629;96322888;ЗАГЛУШКА ФЛАНЦА П/О ПРИВ. GOLF 1.5-2.0;Прокладки и сальники;1
32;50400645;AT-5407;НАБОР САЛЬНИКОВ;Прокладки и сальники;403
33;50400565;BOS256-314;ПРОКЛАДКА СИСТ. ВЫПУСК. Mercedes E-КЛАСС 220T CDI 07.99-03.03;Прокладки и сальники;1
34;50400603;CO12011153;321501641 САЛЬНИК ЗАДН. СТУП. 40x52/58x7,5 VW GOLF/PASSAT;Прокладки и сальники;1
35;50400597;CO12015750B;САЛЬНИК ПЕРВИЧНОГО ВАЛА КОРОБКИ ПЕРЕДАЧ FORD;Прокладки и сальники;2
36;50400610;CO12019250;САЛЬНИК КОЛЕНВАЛА П 40X52X7 OPEL/Fiat 1.3CDTI/1.3JTD;Прокладки и сальники;3
37;50400611;CO19016630;САЛЬНИК 18x30x7@MOTB;Прокладки и сальники;1
38;50400605;CO20015851;"85x105x12 САЛЬНИК ВАЛА З VW (БОЛЬШ.) ;VOLVO  (D1";Прокладки и сальники;1
39;50400676;EL026680;САЛЬНИК КЛАПАНА (ВСАС.) FORD 1.8/2.0 16V Duratec  04-;Прокладки и сальники;8
40;50400170;EL315494;"САЛЬНИК ВАЛА З 85x105x12 VW (БОЛЬШ.) ;VOLVO  (D16,D24,D24T,D24TIC)";Прокладки и сальники;1
41;50400100;EL325155;САЛЬНИК ВАЛА П МАЛ. 32x47x10 VW;Прокладки и сальники;
42;50400391;EL495620;044103609D ПРОКЛАДКА ПОДДОНА МАСЛА VW 1,9SDI 95-;Прокладки и сальники;1
43;50400230;EL508209;90X110X7 САЛЬНИК З PEUGEOT 1.6/1.9/1.8D/1.9D;Прокладки и сальники;
44;50400386;EL559336;030103383K ПРОКЛ. ГОЛ. VW 1,05-1,4 (D75,0);Прокладки и сальники;
45;50400135;EL621700;ПРОКЛАДКА КОЛЛЕКТОРА ВПУСК. VW 1.05-1.4 83-@BRON AVIK;Прокладки и сальники;
46;50400254;EL701289;САЛЬНИК КЛАПАНА (7) VW GTI/VR6 (027109675);Прокладки и сальники;8
47;50400162;EL915311;ПРОКЛАДКА ПОДДОНА МАСЛА VW T4 2,4D/2,5D/2,5 БЕНЗ. (5 ЦИЛ.)@BRON;Прокладки и сальники;1
48;50400615;EL915688;044103383D ПРОКЛАДКА ГОЛ. VW T4 1,8/2,0 91-;Прокладки и сальники;2
49;50400683;GLAX03743-01;ПРОКЛАДКА КОЛЛЕКТОРА ВЫПУСК. SEAT (CORDOBA,IBIZA II) VW GOLF II,GOLF;Прокладки и сальники;
50;50400346;HP100 079;020301227D 18x30x6,4/8,1 САЛЬНИК ПЕРЕКЛ. ПЕРЕД. VW GOLF A 1,5-2,0@^;Прокладки и сальники;3
51;50400620;HP100 087;020498085G РЕМ. К-Т !!!!САЛЬН. ДИФФЕР.+ ЗАГЛУШКА 50x65.2x10@^BRON;Прокладки и сальники;3
52;50400217;HP100 714;037115220B ПРОКЛАДКА ПОДДОНА МАСЛА (С ЗАЩИТОЙ) VW 1,9D@^ BRON;Прокладки и сальники;2
53;50400622;HP104 505;N0282062 ОРИНГ КРЕПЛ. ДАТЧИКОВ В ГОЛ. VW -90;Прокладки и сальники;13
54;50400643;HP201 218;0636841 САЛЬНИК ВАЛА РАСПР. OPEL OHC;Прокладки и сальники;2
55;50400630;LBU8881;САЛЬНИК;Прокладки и сальники;2
56;50400607;N 012 70 82;Шпонка шестерни коленвала;Прокладки и сальники;1
57;50400310;SAS1213273;40x58x11.3. Peugeot 206 САЛЬНИК П/О ЛЕВ.@С ПЛАСТИК. ЗУБ. ^;Прокладки и сальники;
58;50400578;TP207 217;TOPRAN КІЛЬЦЕ УЩІЛЬНЮВАЧ;Прокладки и сальники;
59;50500965;054 903 137;РЕМЕНЬ ПРИВОД.. (11,2x866) AUDI 80/90, VW PASSAT;Ремни;3
